NAME,HUC6,OBJECTID,N,oc,wsolidityu2,wroundu2,ndvimean,etDp2000,etDp2001,etDp2002,etDp2003,etDp2004,etDp2005,etDp2006,etDp2007,etDp2008,etDp2009,etDp2010,etDp2011,etDp2012,etDp2013,etDp2014,etDp15year,petDp2000,petDp2001,petDp2002,petDp2003,petDp2004,petDp2005,petDp2006,petDp2007,petDp2008,petDp2009,petDp2010,petDp2011,petDp2012,petDp2013,petDp2014,petDp15year,n,log10oc,angularwsolidityu2,sqrtwroundu2,log10petDp15year,sqrtn,STlog10oc,STangularwsolidityu2,STsqrtwroundu2,STsqrtn
Middle Brazos-Bosque,120602,304,13,1.697000006,0.902840711,0.827954941,0.465666348,0.529551538,0.646125385,0.602203077,0.721769231,0.515843077,0.858732308,0.533929231,0.557822308,0.63989,0.49994,0.6939,0.525690769,0.588233846,0.487953846,0.615379231,0.601130923,2.410080769,2.084270769,1.709862308,2.393214615,1.436460769,3.405373077,2.619832308,1.302547692,2.548923077,1.760884615,1.864596923,3.172193077,2.264236923,2.120046154,2.92157,2.267606205,0.827303255,0.229681844,1.104903293,0.909920294,0.355567637,0.909562123,-0.02775166,-0.162083879,0.931887563,-0.764861015
Middle Brazos-Clear Fork,120601,303,15,1.277142865,0.913009628,0.793375032,0.370438333,0.441406,0.624212,0.433734667,0.572258,0.391064667,0.574922667,0.432326,0.572954667,0.514817333,0.502394667,0.532069333,0.541372,0.595440667,0.460488,0.467375333,0.510455733,3.593240667,3.176022667,1.93813,3.666493333,1.687190667,3.058622,3.952242667,2.039162,3.563297333,2.958176,2.115997333,6.798726,4.062159333,3.204815333,3.620944667,3.295681333,0.604308586,0.106239482,1.119005007,0.890716022,0.517945212,0.777372874,-0.491397709,0.2288598,0.67280689,-1.457869973
Middle Canadian,110901,326,6,0.786666662,0.912249565,0.79550087,0.263968359,0.42629,0.595853333,0.444138333,0.53361,0.405285,0.54498,0.425796667,0.588791667,0.416028333,0.475488333,0.438771667,0.456196667,0.461431667,0.495456667,0.557038333,0.484343778,5.14354,5.069055,4.818783333,5.92629,2.984385,4.031878333,3.809901667,4.171376667,4.085248333,5.056673333,3.671748333,9.491083333,6.885841667,5.67992,5.334535,5.077350667,0.508268874,-0.104209255,1.11791526,0.891908555,0.705637159,0.712929782,-1.281837259,0.198648607,0.68889509,-1.795716213
Middle Colorado-Concho,120901,308,16,1.70285712,0.899180617,0.745924481,0.383951234,0.519439375,0.768156875,0.608011875,0.62030375,0.472838125,0.692329375,0.625946875,0.566308125,0.690993125,0.540826875,0.719580625,0.764056875,0.631163125,0.538849375,0.642334375,0.626742583,3.77917,3.919459375,2.783813125,3.03015,1.7841625,3.14490125,4.436929375,1.82912,4.266990625,2.97408375,2.70717375,8.057305625,3.27858,3.080359375,3.620951875,3.512876708,0.744559474,0.23117821,1.100060436,0.863669197,0.545662908,0.862878597,-0.022131352,-0.296343046,0.307924019,-1.009601806
Middle Colorado-Llano,120902,309,16,1.191428572,0.893436249,0.706460836,0.470944779,0.63304375,0.725345,0.61154375,0.834326875,0.63889875,0.947838125,0.761189375,0.59267625,1.328771875,0.636109375,0.922085625,0.996524375,0.8312825,0.72968625,0.849070625,0.8025595,2.1849675,1.976693125,1.648055,2.282795,1.553414375,3.286729375,3.015715,1.267706875,5.080484375,2.209380625,2.22821125,5.120236875,2.41,2.429014375,3.00555125,2.646597,1.262187994,0.076068011,1.092680045,0.840512246,0.422687816,1.123471403,-0.604720907,-0.500950588,-0.004481385,0.356569429
Middle Columbia,170701,375,18,1.655555566,0.893072194,0.647118226,0.497855727,0.999525,0.909234444,0.971297222,0.819388333,1.101042222,0.808652222,0.623359444,0.857673889,0.973821111,0.782741667,0.673736667,0.893790556,0.725800556,1.19589,0.777143889,0.874206481,2.861568333,2.860539444,3.081349444,2.482291111,3.006155556,2.473225,1.90879,2.560913889,3.066798333,2.587628333,1.845095556,2.566203333,2.040428889,3.512124444,2.322741667,2.611723556,1.512415985,0.218943762,1.092220871,0.804436589,0.416927206,1.22980323,-0.068083595,-0.51368034,-0.491170268,0.91401952
Middle Gila,150501,55,7,0.581428575,0.793387,0.326559333,0.209099481,0.389304286,0.446104286,0.570525714,0.43741,0.340877143,0.447518571,0.307928571,0.325065714,0.418054286,0.5058,0.327974286,0.345281429,0.30033,0.303242857,0.2997,0.384341143,12.91459,11.05498429,25.08485143,14.64812143,11.64734143,9.654728571,14.84107143,13.48907571,12.06701714,25.89713714,9.343817143,17.57019857,14.55314286,10.61323714,11.26894,14.30988362,0.351518362,-0.235503628,0.990722743,0.571453701,1.155636102,0.592889839,-1.774975244,-3.327526359,-3.63429199,-2.425031806
Middle Ohio-Little Miami,50902,153,33,1.454545454,0.903939394,0.752424242,0.576519946,0.544360303,0.577403333,0.547732727,0.581775152,0.56322303,0.605327879,0.542777879,0.63038303,0.511225758,0.583971515,0.683393333,0.426207879,0.726449697,0.587756364,0.633388485,0.583025091,1.08954,1.113106364,0.99958303,1.009921515,1.01622303,1.133675455,1.023344242,1.261767576,0.994548182,1.089860909,1.377643939,0.753371818,1.450745455,1.018382121,1.187562424,1.101285071,1.199832412,0.162727297,1.106379703,0.867423912,0.041899752,1.095368619,-0.279231058,-0.121153184,0.358578068,0.209239133
Middle Ohio-Raccoon,50901,352,2,8.43999958,0.93,0.76,0.598128156,0.540375,0.726435,0.56809,0.516495,0.4964,0.68712,0.586705,0.672005,0.59155,0.524285,0.518325,0.421685,0.602805,0.57471,0.57875,0.573715667,1.23429,1.55466,1.08874,0.9143,0.931225,1.39142,1.222155,1.50437,1.223235,0.98906,1.13148,0.7771,1.219875,1.063225,1.1883,1.162229,1.124518983,0.926342425,1.145191014,0.871779789,0.065291708,1.060433394,2.588885941,0.954817933,0.417342264,0.026089411
Middle Platte,102001,228,27,1.599130439,0.922083333,0.731666667,0.426601362,0.871791111,0.757702593,0.996222593,0.86245037,0.730655926,0.710975926,0.680791111,0.597148519,0.530086667,0.787863333,0.746450741,0.707839259,0.993659259,0.772345926,0.706282222,0.76348437,3.045154815,2.40675,3.684608519,2.719033704,2.17392963,2.240111852,2.398222222,1.603066296,1.520776296,2.199456296,1.999105185,2.083568889,4.600317037,2.212985556,2.09848963,2.465705062,1.166050757,0.20388389,1.132522665,0.855375161,0.391941127,1.079838301,-0.124648051,0.603611609,0.196030986,0.127820641
