NAME,HUC6,OBJECTID,N,HDIdgi,oc,clay,silt,sand,wpg2,wp,fc,tp,ep,Ks,wsolidityu2,wroundu2,wsizemean,wgrademean,denvfroots,denfroots,denmroots,dencoroots,etDp2000,etDp2001,etDp2002,etDp2003,etDp2004,etDp2005,etDp2006,etDp2007,etDp2008,etDp2009,etDp2010,etDp2011,etDp2012,etDp2013,etDp2014,petDp2000,petDp2001,petDp2002,petDp2003,petDp2004,petDp2005,petDp2006,petDp2007,petDp2008,petDp2009,petDp2010,petDp2011,petDp2012,petDp2013,petDp2014,n,asinHDIdgi,log10oc,sqrtclay,sqrtsand,log10wpg2,sqrtwp,log10tp,sqrtep,sqrtKs,angularwsolidityu2,asinwroundu2,log10wsizemean,log10wgrademean,log10denvfroots,log10denfroots,log10denmroots,log10dencoroots,sqrtn
Saginaw,40802,181,6,0.539918855,2.526666681,22.44999989,30.61666679,46.93333423,3.5,0.130970002,0.248019995,0.452830189,0.204810194,65.67449833,0.915053667,0.789892666,9.757487617,1.833333333,0,0.163952259,0.000196067,0,0.626318333,0.65847,0.80683,0.769998333,0.646943333,0.686273333,0.51988,0.727233333,0.596518333,0.609603333,0.780176667,0.57962,0.707026667,0.586036667,0.629248333,1.36423,1.360413333,1.490716667,1.513631667,1.191278333,1.47847,1.07273,1.562338333,1.159431667,1.188898333,1.647366667,1.079071667,1.500618333,1.115505,1.213453333,1.297019041,0.825359548,0.402547953,4.738143084,6.850790774,0.544068044,0.361897778,-0.344064628,0.452559603,8.1039804,1.121966703,1.094630761,0.989338009,0.263241435,-5,-0.785282594,-3.707595945,-5,1.138867438
Salmon,170602,362,4,0.424340158,2.409999967,21.54999995,52.85000038,25.60000014,25.33333333,0.167409999,0.350663332,0.576100636,0.225437304,73.65294617,0.910043212,0.799913576,5.175908777,1.665798308,0.007774395,0.137928091,0.000261422,0.000654301,0.8856775,0.9440325,1.0334525,0.9003525,0.8420575,0.8350075,0.772785,0.8606625,1.03553,0.818085,0.7529925,0.8857275,0.851885,1.068025,0.7761875,4.4969825,4.983525,4.7404625,4.469065,3.6483125,3.56845,3.57153,4.4825275,4.70483,3.3613075,3.062645,3.5417575,4.75098,5.07789,3.7011925,1.251762377,0.709446567,0.382017037,4.64219775,5.05964427,1.403692338,0.40915767,-0.239501646,0.474802384,8.582129466,1.114786137,1.107040697,0.713986613,0.221622417,-2.109333419,-0.860347274,-3.582657208,-3.184222541,1.11882187
San Antonio,121003,314,7,0.401624054,1.120000005,27.69999943,24.37142808,47.92857116,0,0.213078001,0.293788006,0.494968548,0.173381801,46.71836848,0.910489393,0.799021214,6.47853572,1.666666667,0.006098879,0.071566462,0.000653556,0.000654301,0.736505714,0.777612857,0.583494286,0.992602857,0.65516,1.109622857,1.04919,0.635337143,1.360958571,0.693581429,0.790055714,1.237617143,1.085154286,0.919995714,0.929595714,1.845457143,1.68617,1.307312857,1.852398571,1.226525714,2.543111429,2.746752857,1.117411429,3.492568571,2.006958571,1.523785714,4.04925,2.32674,2.160108571,2.082654286,1.946434078,0.686376189,0.049218025,5.263078893,6.923046378,-2,0.461603728,-0.305422397,0.416391403,6.835083649,1.115414885,1.105926354,0.811476858,0.22184875,-2.214750016,-1.14529045,-3.184717199,-3.184222541,1.395146615
San Jacinto,120401,300,26,0.733039234,0.945,6.026923088,31.99230772,61.98076894,1.476190476,0.070592729,0.178089089,0.425707547,0.237691358,109.2192071,0.901392368,0.713404263,4.304623291,1.055555556,0.003216991,0.064409816,0.00047056,0.001766612,0.68648913,0.610756957,0.563945217,0.773792609,0.533719565,0.89727913,0.62686913,0.638167391,0.75716,0.653706522,1.016874783,0.924286087,0.757690435,0.701892174,0.632167826,1.479930435,1.0469,0.998463043,1.28263913,0.884666522,1.700993478,1.170706087,1.040726087,1.440360435,1.273314783,1.864266522,2.787913478,1.386039565,1.450974783,1.228880435,1.529995378,1.027824754,-0.024568191,2.454979244,7.872786606,0.169142399,0.265692922,-0.370888651,0.487536007,10.45079935,1.102973231,1.005878548,0.633935151,0.023481096,-2.492550171,-1.19104794,-3.327384703,-2.752858777,1.236929819
San Pedro-Willcox,150502,61,8,0.403238804,1.228749968,15.74999982,29.26249981,54.98750091,24.85714286,0.116641997,0.197728334,0.456603774,0.25887544,156.2324899,0.8522101,0.510829299,3.801162355,1.428571429,0.004222301,0.211771668,4.90E-05,0.000245363,0.29788625,0.4838075,0.516315,0.54919375,0.47830625,0.56303,0.635005,0.48853625,0.65458375,0.3892925,0.434,0.40403375,0.44231625,0.54142125,0.42540125,4.94377625,6.5593475,10.20682875,10.99432625,6.4241175,7.81009125,7.06641,5.87023625,7.1002,9.46202375,5.6107575,7.78287625,9.15867,7.04459875,5.42283625,0.465704682,0.68802259,0.08946352,3.968626944,7.41535575,1.395451208,0.34152891,-0.340460503,0.508798035,12.49929958,1.045804829,0.796228309,0.57991642,0.15490196,-2.374450859,-0.674132142,-4.309655936,-3.610191274,0.682425587
Santa Ana,180702,77,26,0.432275319,1.230769241,11.81923085,29.34230757,58.8384617,5.615384615,0.093958888,0.209827506,0.476886791,0.267059285,136.8946164,0.914375843,0.749884678,6.861756766,1.318476697,0.004825486,0.020539074,0.000211149,0,1.1010625,0.967105,1.1278295,0.773695,0.519439,0.6184795,0.937881,0.99523,0.704525,1.0958405,0.417517,1.014633,0.8775735,1.2612025,0.7332205,8.5875985,7.0480945,15.724664,5.888411,4.812959,4.174744,10.570705,14.7137025,6.801976,11.0139685,3.3116025,8.294152,9.7874685,13.2382735,8.5421075,0.917003323,0.717464668,0.090176634,3.437910826,7.670623293,0.749379508,0.306527141,-0.321584707,0.516777791,11.70019728,1.120979486,1.047064399,0.836435319,0.120072458,-2.316458912,-1.687419135,-3.675411261,-5,0.957602904
Santa Cruz,150503,56,16,0.315804543,0.894375004,12.27499996,30.03125012,57.69374985,25.8125,0.078439168,0.192202502,0.434905656,0.242703154,106.4428732,0.800887624,0.2979136,2.772975913,1.38673406,0.005736967,0.023942235,7.84E-05,0,0.283269167,0.395870833,0.492683333,0.374788333,0.408593333,0.437341667,0.30425,0.351085,0.381169167,0.379671667,0.309559167,0.3200625,0.3509325,0.377421667,0.3265525,8.361535,8.577185,16.990025,11.1344825,9.739829167,9.2866975,9.446839167,9.772275833,8.883044167,17.3746125,7.7162975,13.25678667,11.37623833,9.903355,9.5001225,0.357460314,0.596759356,-0.048480347,3.503569603,7.595640187,1.411830069,0.280069933,-0.361604944,0.492649118,10.31711555,0.997217076,0.577361017,0.442946097,0.141993182,-2.241317643,-1.620835316,-4.105535953,-5,0.597879849
Santee,30501,285,28,0.608380242,1.600000024,20.27857135,22.26071426,57.46071407,4.857142857,0.119641997,0.276115995,0.477735852,0.201619857,66.04134858,0.925714286,0.768571429,2.724597176,1.107142857,0.002513274,0.078658048,0.0005882,0.000441653,0.809884074,0.874314074,0.65776,0.587841111,0.753862222,0.699514074,0.784445926,0.914847407,0.769963333,0.592384815,0.81525963,0.745700741,0.792207407,0.512524444,0.687018889,1.595772222,1.632806296,1.204565556,0.937388519,1.267100741,1.210668148,1.495641111,2.006401852,1.536485556,1.022295185,1.475535926,1.381918148,1.3565,0.884661852,1.281494815,1.620938362,0.894645578,0.204119989,4.503173475,7.580284564,0.686380877,0.345893043,-0.320812165,0.449020999,8.126582835,1.138221731,1.068921243,0.435302302,0.044203662,-2.59976014,-1.104256834,-3.23047469,-3.354918766,1.273160776
Savannah,30601,284,4,0.549255194,2.373333365,24.82499975,27.52499938,47.65000105,2.75,0.263759997,0.390389975,0.460377378,0.069987403,2.086815446,0.9225,0.775,4.596194077,1,0.004021239,0.097590631,0,0,0.7534625,0.9373325,0.68884,0.5923125,0.716815,0.6524475,0.810065,0.8384125,0.7321875,0.60605,0.865645,0.85874,0.7639575,0.53282,0.71761,1.7207625,1.798565,1.239245,0.99667,1.370705,1.20532,1.7906575,1.8270925,1.49381,1.136935,1.561205,1.743325,1.504405,1.0089175,1.43028,1.532603922,0.834733372,0.375358745,4.982469242,6.902898018,0.439332694,0.513575697,-0.336886025,0.264551324,1.444581408,1.133167637,1.076580282,0.662398359,0,-2.395640158,-1.010591876,-6,-5,1.237983813
Scioto,50600,261,21,0.472707997,1.690000057,22.88095247,59.55714362,17.56190477,1,0.157139997,0.336729986,0.430188683,0.093458697,6.069886692,0.929922814,0.760154373,2.289367425,1.78780967,0,0.048404953,0,0.010992254,0.592271905,0.638309524,0.62542,0.497331905,0.545257143,0.515610476,0.610047143,0.54783,0.53705381,0.656198571,0.640405714,0.427719524,0.595791429,0.5631,0.600220952,1.318258095,1.377159524,1.283450476,0.95665619,1.022915238,1.071028571,1.218998095,1.189721905,1.178484286,1.373305714,1.46437381,0.774770952,1.341957143,1.038990476,1.252408095,1.096175523,0.758092589,0.227886719,4.783403858,4.190692636,0,0.396408877,-0.366341019,0.305710151,2.463714004,1.145063024,1.059004388,0.359715499,0.252321282,-5,-1.315110199,-6,-1.95891326,1.046984013
